,MoleculeID,CERAPP_Ago_pred,CERAPP_Anta_pred,CERAPP_Bind_pred,CoMPARA_Ago_pred,CoMPARA_Anta_pred,CoMPARA_Bind_pred,CATMoS_VT_pred,CATMoS_NT_pred,CATMoS_EPA_pred,CATMoS_GHS_pred,CATMoS_LD50_pred,dtxsid,group_str,final_picks
0,DTXSID9041491,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2636.0,DTXSID9041491,"('Phenylpropanoids and polyketides', 2.0)",
1,DTXSID8052227,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2224.0,DTXSID8052227,"('Prenol lipids', 2.0)",
2,DTXSID1062330,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1024.0,DTXSID1062330,"('Organic salts', nan)",
3,DTXSID10889202,1.0,0.0,1,1.0,0.0,1,0,1,4,5,5698.0,DTXSID10889202,"('Carboxylic acids and derivatives', 2.0)",
4,DTXSID10889207,0.0,0.0,0,0.0,1.0,1,0,1,3,5,2635.0,DTXSID10889207,"('Prenol lipids', 2.0)",
5,DTXSID5071880,0.0,0.0,0,0.0,1.0,1,0,1,3,5,2665.0,DTXSID5071880,"('Benzene and substituted derivatives', 8.0)",
6,DTXSID4070037,0.0,0.0,0,0.0,0.0,1,0,1,4,5,7015.0,DTXSID4070037,"('Organic phosphonic acids and derivatives', nan)",
7,DTXSID4066385,0.0,0.0,1,0.0,1.0,1,0,1,3,5,2472.0,DTXSID4066385,"('Benzene and substituted derivatives', 2.0)",
8,DTXSID0026177,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1051.0,DTXSID0026177,"('Organic nitrogen compounds', 6.0)",
9,DTXSID20921703,0.0,0.0,1,0.0,0.0,0,0,1,4,5,5364.0,DTXSID20921703,"('Organooxygen compounds', 3.0)",
10,DTXSID9061835,0.0,1.0,1,0.0,0.0,0,0,1,3,5,2215.0,DTXSID9061835,"('Benzenoids', 3.0)",1.0
11,DTXSID40885954,0.0,0.0,0,0.0,0.0,0,0,1,4,5,5064.0,DTXSID40885954,"('Prenol lipids', 1.0)",
12,DTXSID7051559,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2403.0,DTXSID7051559,"('Benzene and substituted derivatives', 5.0)",
13,DTXSID40867295,1.0,0.0,1,0.0,0.0,0,0,1,3,5,2913.0,DTXSID40867295,"('Prenol lipids', 2.0)",
14,DTXSID1047528,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6252.0,DTXSID1047528,"('Benzene and substituted derivatives', 1.0)",
15,DTXSID90888435,0.0,0.0,0,0.0,1.0,1,0,1,3,5,2505.0,DTXSID90888435,"('Anthracenes', 9.0)",
16,DTXSID3026851,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2079.0,DTXSID3026851,"('Organic nitrogen compounds', 1.0)",
17,DTXSID4061410,0.0,0.0,1,0.0,0.0,0,0,1,3,5,2571.0,DTXSID4061410,"('Benzene and substituted derivatives', 6.0)",
18,DTXSID4027492,0.0,0.0,0,0.0,0.0,0,0,0,2,3,236.0,DTXSID4027492,"('Organometallic compounds', 2.0)",
19,DTXSID3064431,0.0,0.0,0,0.0,0.0,0,0,0,3,4,703.0,DTXSID3064431,"('Benzene and substituted derivatives', 10.0)",
20,DTXSID3065372,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2039.0,DTXSID3065372,"('Carboxylic acids and derivatives', 5.0)",
21,DTXSID9045055,0.0,0.0,1,0.0,1.0,1,0,1,4,5,6966.0,DTXSID9045055,"('Anthracenes', 6.0)",1.0
22,DTXSID90884371,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6167.0,DTXSID90884371,"('Fatty Acyls', 1.0)",
23,DTXSID0041357,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6167.0,DTXSID0041357,"('Fatty Acyls', 1.0)",
24,DTXSID5059080,0.0,1.0,1,0.0,0.0,0,0,1,3,5,2598.0,DTXSID5059080,"('Naphthalenes', 5.0)",
25,DTXSID30867168,0.0,0.0,0,0.0,0.0,0,0,1,4,5,11258.0,DTXSID30867168,"('Fatty Acyls', 3.0)",
26,DTXSID80889052,0.0,0.0,0,0.0,0.0,0,0,0,3,4,519.0,DTXSID80889052,"('Azolidines', 2.0)",
27,DTXSID4058948,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2513.0,DTXSID4058948,"('Benzene and substituted derivatives', 7.0)",1.0
28,DTXSID8066260,0.0,0.0,0,0.0,1.0,1,0,0,3,4,654.0,DTXSID8066260,"('Benzopyrans', nan)",
29,DTXSID9047178,0.0,0.0,0,0.0,0.0,0,0,1,4,5,12797.0,DTXSID9047178,"('Fatty Acyls', 2.0)",
30,DTXSID5025603,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1355.0,DTXSID5025603,"('Organic nitrogen compounds', 4.0)",
31,DTXSID6041551,1.0,1.0,0,0.0,0.0,0,0,0,3,4,1202.0,DTXSID6041551,"('Benzene and substituted derivatives', 6.0)",
32,DTXSID2026606,0.0,0.0,0,0.0,1.0,1,0,0,3,4,633.0,DTXSID2026606,"('Benzene and substituted derivatives', 10.0)",
33,DTXSID1072393,0.0,0.0,1,0.0,1.0,1,0,1,4,5,5016.0,DTXSID1072393,"('Benzenoids', 5.0)",
34,DTXSID60371889,0.0,0.0,1,0.0,0.0,0,0,0,2,3,267.0,DTXSID60371889,"('Benzene and substituted derivatives', 5.0)",
35,DTXSID2027339,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2713.0,DTXSID2027339,"('Carboxylic acids and derivatives', 1.0)",
